Addr.    Binary          Hex    Decimal
0    1001010111000010    95C2    38338
1    0000001000000001    0201    513
2    1010111110000000    AF80    44928
3    1010111110000001    AF81    44929
4    1010100000000000    A800    43008
5    1010100000000001    A801    43009
6    1001000000000011    9003    36867
7    0001000001000011    1043    4163
8    1001000011010010    90D2    37074
9    1000000001110111    8077    32887
10    0000000111110101    01F5    501
11    1011010011111001    B4F9    46329
12    1010111110000001    AF81    44929
13    1000000000110111    8037    32823
14    0000000111110001    01F1    497
15    1011010011110100    B4F4    46324
16    1100100000000000    C800    51200
17    0000000000000000    0000    0
18    0000000000000000    0000    0
19    0000000000000000    0000    0
20    0000000000000000    0000    0
21    0000000000000000    0000    0
22    0000000000000000    0000    0
23    0000000000000000    0000    0
24    0000000000000000    0000    0
25    0000000000000000    0000    0
26    0000000000000000    0000    0
27    0000000000000000    0000    0
28    0000000000000000    0000    0
29    0000000000000000    0000    0
30    0000000000000000    0000    0
31    0000000000000000    0000    0
32    0000000000000000    0000    0
33    0000000000000000    0000    0
34    0000000000000000    0000    0
35    0000000000000000    0000    0
36    0000000000000000    0000    0
37    0000000000000000    0000    0
38    0000000000000000    0000    0
39    0000000000000000    0000    0
40    0000000000000000    0000    0
41    0000000000000000    0000    0
42    0000000000000000    0000    0
43    0000000000000000    0000    0
44    0000000000000000    0000    0
45    0000000000000000    0000    0
46    0000000000000000    0000    0
47    0000000000000000    0000    0
48    0000000000000000    0000    0
49    0000000000000000    0000    0
50    0000000000000000    0000    0
51    0000000000000000    0000    0
52    0000000000000000    0000    0
53    0000000000000000    0000    0
54    0000000000000000    0000    0
55    0000000000000000    0000    0
56    0000000000000000    0000    0
57    0000000000000000    0000    0
58    0000000000000000    0000    0
59    0000000000000000    0000    0
60    0000000000000000    0000    0
61    0000000000000000    0000    0
62    0000000000000000    0000    0
63    0000000000000000    0000    0
64    0000000000000000    0000    0
65    0000000000000000    0000    0
66    0000000000000000    0000    0
67    0000000000000000    0000    0
68    0000000000000000    0000    0
69    0000000000000000    0000    0
70    0000000000000000    0000    0
71    0000000000000000    0000    0
72    0000000000000000    0000    0
73    0000000000000000    0000    0
74    0000000000000000    0000    0
75    0000000000000000    0000    0
76    0000000000000000    0000    0
77    0000000000000000    0000    0
78    0000000000000000    0000    0
79    0000000000000000    0000    0
80    0000000000000000    0000    0
81    0000000000000000    0000    0
82    0000000000000000    0000    0
83    0000000000000000    0000    0
84    0000000000000000    0000    0
85    0000000000000000    0000    0
86    0000000000000000    0000    0
87    0000000000000000    0000    0
88    0000000000000000    0000    0
89    0000000000000000    0000    0
90    0000000000000000    0000    0
91    0000000000000000    0000    0
92    0000000000000000    0000    0
93    0000000000000000    0000    0
94    0000000000000000    0000    0
95    0000000000000000    0000    0
96    0000000000000000    0000    0
97    0000000000000000    0000    0
98    0000000000000000    0000    0
99    0000000000000000    0000    0
100    0000000000000000    0000    0
101    0000000000000000    0000    0
102    0000000000000000    0000    0
103    0000000000000000    0000    0
104    0000000000000000    0000    0
105    0000000000000000    0000    0
106    0000000000000000    0000    0
107    0000000000000000    0000    0
108    0000000000000000    0000    0
109    0000000000000000    0000    0
110    0000000000000000    0000    0
111    0000000000000000    0000    0
112    0000000000000000    0000    0
113    0000000000000000    0000    0
114    0000000000000000    0000    0
115    0000000000000000    0000    0
116    0000000000000000    0000    0
117    0000000000000000    0000    0
118    0000000000000000    0000    0
119    0000000000000000    0000    0
120    0000000000000000    0000    0
121    0000000000000000    0000    0
122    0000000000000000    0000    0
123    0000000000000000    0000    0
124    0000000000000000    0000    0
125    0000000000000000    0000    0
126    0000000000000000    0000    0
127    0000000000000000    0000    0
128    0000000000000000    0000    0
129    0000000000000000    0000    0
130    0000000000000000    0000    0
131    0000000000000000    0000    0
132    0000000000000000    0000    0
133    0000000000000000    0000    0
134    0000000000000000    0000    0
135    0000000000000000    0000    0
136    0000000000000000    0000    0
137    0000000000000000    0000    0
138    0000000000000000    0000    0
139    0000000000000000    0000    0
140    0000000000000000    0000    0
141    0000000000000000    0000    0
142    0000000000000000    0000    0
143    0000000000000000    0000    0
144    0000000000000000    0000    0
145    0000000000000000    0000    0
146    0000000000000000    0000    0
147    0000000000000000    0000    0
148    0000000000000000    0000    0
149    0000000000000000    0000    0
150    0000000000000000    0000    0
151    0000000000000000    0000    0
152    0000000000000000    0000    0
153    0000000000000000    0000    0
154    0000000000000000    0000    0
155    0000000000000000    0000    0
156    0000000000000000    0000    0
157    0000000000000000    0000    0
158    0000000000000000    0000    0
159    0000000000000000    0000    0
160    0000000000000000    0000    0
161    0000000000000000    0000    0
162    0000000000000000    0000    0
163    0000000000000000    0000    0
164    0000000000000000    0000    0
165    0000000000000000    0000    0
166    0000000000000000    0000    0
167    0000000000000000    0000    0
168    0000000000000000    0000    0
169    0000000000000000    0000    0
170    0000000000000000    0000    0
171    0000000000000000    0000    0
172    0000000000000000    0000    0
173    0000000000000000    0000    0
174    0000000000000000    0000    0
175    0000000000000000    0000    0
176    0000000000000000    0000    0
177    0000000000000000    0000    0
178    0000000000000000    0000    0
179    0000000000000000    0000    0
180    0000000000000000    0000    0
181    0000000000000000    0000    0
182    0000000000000000    0000    0
183    0000000000000000    0000    0
184    0000000000000000    0000    0
185    0000000000000000    0000    0
186    0000000000000000    0000    0
187    0000000000000000    0000    0
188    0000000000000000    0000    0
189    0000000000000000    0000    0
190    0000000000000000    0000    0
191    0000000000000000    0000    0
192    0000000000000000    0000    0
